Boro,street,fromSt,avg_vol,lat,lon,geometry
Bronx,EAST 142 STREET,Brook Avenue,20.368146214099216,40.8103586,-73.9176057,POINT (-73.9176057 40.8103586)
Bronx,EAST 149 STREET,Dead End,125.53645833333333,40.8148824,-73.9148068,POINT (-73.9148068 40.8148824)
Bronx,EAST 149 STREET,Jackson Avenue,51.140625,40.8132409,-73.90908739999999,POINT (-73.90908739999999 40.8132409)
Bronx,EAST 156 STREET,Concourse Village West,88.95833333333333,40.8226721,-73.9200632,POINT (-73.9200632 40.8226721)
Bronx,EAST 161 STREET,3 Avenue,78.29166666666667,40.8225458,-73.90991609999999,POINT (-73.90991609999999 40.8225458)
Bronx,EAST 161 STREET,Concourse Line,0.0,40.8268835,-73.9223153,POINT (-73.9223153 40.8268835)
Bronx,EAST 161 STREET,Concourse Village East,87.3954802259887,40.8255907,-73.91845690000001,POINT (-73.91845690000001 40.8255907)
Bronx,EAST 161 STREET,Eagle Avenue,10.789242590559825,40.8245656,-73.9150799,POINT (-73.9150799 40.8245656)
Bronx,EAST 163 STREET,Brook Avenue,67.3293768545994,40.8248423,-73.91126419999999,POINT (-73.91126419999999 40.8248423)
Bronx,EAST 163 STREET,Cauldwell Avenue,128.14603798297316,40.8235948,-73.9067506,POINT (-73.9067506 40.8235948)
Bronx,EAST 163 STREET,Kelly Street,29.960176991150444,40.8209986,-73.8958789,POINT (-73.8958789 40.8209986)
Bronx,EAST 163 STREET,Melrose Avenue,25.719402985074627,40.8254727,-73.9131736,POINT (-73.9131736 40.8254727)
Bronx,EAST 163 STREET,Prospect Avenue,96.28654970760233,40.8221022,-73.9005602,POINT (-73.9005602 40.8221022)
Bronx,EAST 163 STREET,Rev James Polite Avenue,70.15811965811966,40.8210637,-73.8989314,POINT (-73.8989314 40.8210637)
Bronx,EAST 163 STREET,Simpson Street,80.75446428571429,40.820976,-73.8928287,POINT (-73.8928287 40.820976)
Bronx,EAST 163 STREET,Union Avenue,69.13953488372093,40.8224522,-73.90199059999999,POINT (-73.90199059999999 40.8224522)
Bronx,EAST 165 STREET,Sherman Avenue,35.830729166666664,40.8300069,-73.9181146,POINT (-73.9181146 40.8300069)
Bronx,EAST 168 STREET,Dead End,63.25231481481482,40.8322821,-73.9095646,POINT (-73.9095646 40.8322821)
Bronx,EAST 168 STREET,Metro North Harlem Line,318.9583333333333,40.8322821,-73.9095646,POINT (-73.9095646 40.8322821)
Bronx,EAST 169 STREET,Dead end,57.4375,40.8329144,-73.9054816,POINT (-73.9054816 40.8329144)
Bronx,EAST 169 STREET,Tinton Avenue,48.409505208333336,40.830824,-73.8997435,POINT (-73.8997435 40.830824)
Bronx,EAST 170 STREET,College Avenue,88.40029761904762,40.837513,-73.91059709999999,POINT (-73.91059709999999 40.837513)
